Index	Index	ICD10	Score	P-value
216	216	H500	286.2976584698042	3.2598745701892965e-64
219	219	H509	283.7503926532831	1.1697277520892461e-63
312	312	I360	281.2569188016236	4.0857251168477565e-63
1078	1078	Q660	277.89887312091264	2.2020284072385126e-62
396	396	I829	277.13608375110846	3.2285096552681615e-62
1006	1006	Q402	276.4580760249978	4.536411546395692e-62
132	132	E835	274.8240867030575	1.0296701918345117e-61
1213	1213	R508	274.3938281515112	1.2777235185419479e-61
326	326	I423	273.9011743273228	1.6359504751861694e-61
1154	1154	R002	271.87471644450017	4.521446691950156e-61
280	280	I254	268.73818787734564	2.1810358966778724e-60
1002	1002	Q398	268.4904892507471	2.469634082334164e-60
277	277	I240	267.9606071635809	3.2217110749943465e-60
104	104	E031	267.72941247305704	3.61793699468311e-60
181	181	G473	267.3872073590723	4.29559667682496e-60
354	354	I489	265.92051873279905	8.966069942812587e-60
495	495	K011	265.9158032940078	8.987307195101393e-60
650	650	N179	264.8835475005068	1.508527809403255e-59
1272	1272	R99	263.9054272698897	2.46424793697552e-59
109	109	E161	263.3139908335095	3.3155771699398432e-59
791	791	P741	259.70185851169293	2.030826020544895e-58
843	843	Q042	256.6682420989957	9.305875369415343e-58
1091	1091	Q680	256.2100065040681	1.1711661926111065e-57
859	859	Q112	255.6054798042965	1.5862131022792126e-57
830	830	P961	254.6992779801963	2.4994834030657524e-57
393	393	I801	253.61664635025755	4.3032063265620434e-57
48	48	B961	247.9502825129181	7.391842672598092e-56
1234	1234	R688	247.55764291923094	9.001839250471111e-56
1056	1056	Q623	246.5552955911749	1.4886837786008328e-55
788	788	P718	245.4258342662097	2.624121235777929e-55
249	249	H906	245.02510867297403	3.2086965115797213e-55
29	29	B349	240.80986351697186	2.6616326363150445e-54
434	434	J211	239.742789563544	4.5473133996423824e-54
754	754	P522	238.99749493238247	6.610298430353825e-54
1005	1005	Q401	238.55343664324383	8.260798482218061e-54
873	873	Q164	237.03038893525363	1.7743511839148752e-53
561	561	K921	236.4125599510936	2.4195031301166818e-53
267	267	I098	236.37815543168531	2.46165061386414e-53
1217	1217	R570	233.15517167478427	1.2412580096657853e-52
1245	1245	R798	230.8637697964311	3.921316127682983e-52
42	42	B952	230.26655171532468	5.2922525220782884e-52
1197	1197	R34	228.7540922037358	1.1308420582837061e-51
489	489	K001	226.9354184702823	2.8179955191033427e-51
1182	1182	R162	226.07088408373164	4.349566156635254e-51
1062	1062	Q631	220.7653905804697	6.242300523232949e-50
868	868	Q142	219.8939624083971	9.66891522870508e-50
1266	1266	R940	218.322535981694	2.128477146784058e-49
1104	1104	Q709	217.01971465302375	4.09442180934247e-49
442	442	J353	216.74810511735626	4.6927466202464474e-49
1018	1018	Q442	216.16355865650166	6.293762042319047e-49
822	822	P923	216.06900817800724	6.599801930336577e-49
301	301	I339	215.8865772057513	7.232984388080234e-49
839	839	Q031	214.66055455377094	1.3387722220330152e-48
991	991	Q381	214.6271412674465	1.3614260576654466e-48
241	241	H729	210.34067147440518	1.1719513328288647e-47
756	756	P524	209.963956452177	1.4160504269355027e-47
684	684	P034	208.081695753583	3.6445890714721447e-47
1267	1267	R942	207.27388128271434	5.4683894343950715e-47
