Index	Index	ICD10	Score	P-value
3909	3909	R635	5535.321985203418	0.0
1151	1151	F191	5501.072350553348	0.0
1591	1591	H905	5460.383836848762	0.0
415	415	C349	5438.421097493906	0.0
2389	2389	K929	5414.415997739414	0.0
1860	1860	I749	5369.139936785782	0.0
912	912	D739	5351.796277219131	0.0
2031	2031	J80	5348.912309676759	0.0
1734	1734	I447	5330.281170585572	0.0
3228	3228	N028	5313.978045307777	0.0
3807	3807	R221	5295.9558688668085	0.0
2137	2137	K228	5283.700009647947	0.0
2167	2167	K295	5271.037994638477	0.0
851	851	D485	5270.708687980329	0.0
1535	1535	H521	5268.112115958909	0.0
1020	1020	E279	5262.653897338147	0.0
1204	1204	F418	5217.912909548089	0.0
3771	3771	R071	5181.022085634177	0.0
1646	1646	I208	5163.763841099482	0.0
1001	1001	E222	5162.111877864112	0.0
2527	2527	L814	5161.505840446792	0.0
695	695	D122	5152.229285828216	0.0
3763	3763	R062	5148.419209441448	0.0
1868	1868	I778	5144.088583463963	0.0
842	842	D472	5130.569667176559	0.0
3818	3818	R251	5128.234554419199	0.0
941	941	E041	5118.687379799797	0.0
1830	1830	I7090	5118.382429506426	0.0
570	570	C786	5112.727678707104	0.0
3310	3310	N300	5091.582232723707	0.0
203	203	B378	5082.568570373371	0.0
2050	2050	J938	5079.03054648169	0.0
2111	2111	K121	5053.649713041282	0.0
1972	1972	J329	5035.280717952033	0.0
2435	2435	L270	5030.173226242634	0.0
2286	2286	K644	5008.868101019323	0.0
1849	1849	I729	5007.1859765205245	0.0
2166	2166	K294	4979.568340283995	0.0
3931	3931	R761	4959.58552950115	0.0
368	368	C189	4949.227550143298	0.0
1886	1886	I868	4947.217703997238	0.0
558	558	C772	4945.957410066561	0.0
1026	1026	E291	4938.24503229402	0.0
56	56	A410	4936.556631770372	0.0
2051	2051	J939	4922.4223173302225	0.0
1545	1545	H539	4904.598933338554	0.0
1498	1498	H353	4875.317516789031	0.0
3956	3956	R827	4861.173065668154	0.0
3923	3923	R71	4852.532005861402	0.0
3755	3755	R040	4837.039566458703	0.0
186	186	B353	4796.611329025436	0.0
1603	1603	H931	4792.973708368416	0.0
62	62	A418	4763.958531136518	0.0
2127	2127	K210	4762.823238528892	0.0
1087	1087	E784	4747.918000853744	0.0
3240	3240	N049	4735.446286844426	0.0
3234	3234	N039	4711.204124999521	0.0
3890	3890	R54	4697.667701446673	0.0
2660	2660	M161	4651.327114164971	0.0
2255	2255	K598	4624.8876064474725	0.0
3894	3894	R571	4624.099876071929	0.0
2004	2004	J42	4623.646096784131	0.0
2199	2199	K429	4619.99618024756	0.0
1092	1092	E831	4588.721018840482	0.0
11	11	A048	4569.4083178925575	0.0
1137	1137	F112	4531.40779604021	0.0
1373	1373	G579	4481.480111156821	0.0
563	563	C779	4467.660753187426	0.0
1121	1121	F028	4459.552981919008	0.0
